"","ID","symboling","name","fueltypes","aspiration","doornumbers","carbody","drivewheels","enginelocation","enginetype","cylindernumber","fuelsystem","wheelbase","carlength","carwidth","carheight","curbweight","enginesize","boreratio","stroke","compressionratio","horsepower","peakrpm","citympg","highwaympg","price"
"24",24,1,"dodge d200","gas","turbo","two","hatchback","fwd","front","ohc","four","mpfi",93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,7957
"25",25,1,"dodge monaco (sw)","gas","std","four","hatchback","fwd","front","ohc","four","2bbl",93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,6229
"26",26,1,"dodge colt hardtop","gas","std","four","sedan","fwd","front","ohc","four","2bbl",93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,6692
"27",27,1,"dodge colt (sw)","gas","std","four","sedan","fwd","front","ohc","four","2bbl",93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,7609
"28",28,1,"dodge coronet custom","gas","turbo","two","sedan","fwd","front","ohc","four","mpfi",93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,5500,24,30,8558
"29",29,-1,"dodge dart custom","gas","std","four","wagon","fwd","front","ohc","four","2bbl",103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,5000,24,30,8921
"30",30,3,"dodge coronet custom (sw)","gas","turbo","two","hatchback","fwd","front","ohc","four","mfi",95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7,145,5000,19,24,12964
"31",31,2,"honda civic","gas","std","two","hatchback","fwd","front","ohc","four","1bbl",86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54,6479
"32",32,2,"honda civic cvcc","gas","std","two","hatchback","fwd","front","ohc","four","1bbl",86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,6000,31,38,6855
"33",33,1,"honda civic","gas","std","two","hatchback","fwd","front","ohc","four","1bbl",93.7,150,64,52.6,1837,79,2.91,3.07,10.1,60,5500,38,42,5399
"34",34,1,"honda accord cvcc","gas","std","two","hatchback","fwd","front","ohc","four","1bbl",93.7,150,64,52.6,1940,92,2.91,3.41,9.2,76,6000,30,34,6529
"35",35,1,"honda civic cvcc","gas","std","two","hatchback","fwd","front","ohc","four","1bbl",93.7,150,64,52.6,1956,92,2.91,3.41,9.2,76,6000,30,34,7129
"36",36,0,"honda accord lx","gas","std","four","sedan","fwd","front","ohc","four","1bbl",96.5,163.4,64,54.5,2010,92,2.91,3.41,9.2,76,6000,30,34,7295
"37",37,0,"honda civic 1500 gl","gas","std","four","wagon","fwd","front","ohc","four","1bbl",96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,6000,30,34,7295
"38",38,0,"honda accord","gas","std","two","hatchback","fwd","front","ohc","four","1bbl",96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9,86,5800,27,33,7895
"39",39,0,"honda civic 1300","gas","std","two","hatchback","fwd","front","ohc","four","1bbl",96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9,86,5800,27,33,9095
"40",40,0,"honda prelude","gas","std","four","sedan","fwd","front","ohc","four","1bbl",96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9,86,5800,27,33,8845
"41",41,0,"honda accord","gas","std","four","sedan","fwd","front","ohc","four","1bbl",96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9,86,5800,27,33,10295
"42",42,0,"honda civic","gas","std","four","sedan","fwd","front","ohc","four","mpfi",96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9,101,5800,24,28,12945
"43",43,1,"honda civic (auto)","gas","std","two","sedan","fwd","front","ohc","four","2bbl",96.5,169.1,66,51,2293,110,3.15,3.58,9.1,100,5500,25,31,10345
"44",44,0,"isuzu MU-X","gas","std","four","sedan","rwd","front","ohc","four","2bbl",94.3,170.7,61.8,53.5,2337,111,3.31,3.23,8.5,78,4800,24,29,6785
"45",45,1,"isuzu D-Max ","gas","std","two","sedan","fwd","front","ohc","four","2bbl",94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,38,43,8916.5
"46",46,0,"isuzu D-Max V-Cross","gas","std","four","sedan","fwd","front","ohc","four","2bbl",94.5,155.9,63.6,52,1909,90,3.03,3.11,9.6,70,5400,38,43,8916.5
"47",47,2,"isuzu D-Max ","gas","std","two","hatchback","rwd","front","ohc","four","spfi",96,172.6,65.2,51.4,2734,119,3.43,3.23,9.2,90,5000,24,29,11048
"48",48,0,"jaguar xj","gas","std","four","sedan","rwd","front","dohc","six","mpfi",113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,32250
"49",49,0,"jaguar xf","gas","std","four","sedan","rwd","front","dohc","six","mpfi",113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,35550
"50",50,0,"jaguar xk","gas","std","two","sedan","rwd","front","ohcv","twelve","mpfi",102,191.7,70.6,47.8,3950,326,3.54,2.76,11.5,262,5000,13,17,36000
"51",51,1,"maxda rx3","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",93.1,159.1,64.2,54.1,1890,91,3.03,3.15,9,68,5000,30,31,5195
"52",52,1,"maxda glc deluxe","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9,68,5000,31,38,6095
"53",53,1,"mazda rx2 coupe","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9,68,5000,31,38,6795
"54",54,1,"mazda rx-4","gas","std","four","sedan","fwd","front","ohc","four","2bbl",93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9,68,5000,31,38,6695
"55",55,1,"mazda glc deluxe","gas","std","four","sedan","fwd","front","ohc","four","2bbl",93.1,166.8,64.2,54.1,1950,91,3.08,3.15,9,68,5000,31,38,7395
"56",56,3,"mazda 626","gas","std","two","hatchback","rwd","front","rotor","two","4bbl",95.3,169,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,10945
"57",57,3,"mazda glc","gas","std","two","hatchback","rwd","front","rotor","two","4bbl",95.3,169,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,11845
"58",58,3,"mazda rx-7 gs","gas","std","two","hatchback","rwd","front","rotor","two","4bbl",95.3,169,65.7,49.6,2385,70,3.33,3.255,9.4,101,6000,17,23,13645
"59",59,3,"mazda glc 4","gas","std","two","hatchback","rwd","front","rotor","two","mpfi",95.3,169,65.7,49.6,2500,80,3.33,3.255,9.4,135,6000,16,23,15645
"60",60,1,"mazda 626","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,8845
"61",61,0,"mazda glc custom l","gas","std","four","sedan","fwd","front","ohc","four","2bbl",98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,8495
"62",62,1,"mazda glc custom","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,10595
"63",63,0,"mazda rx-4","gas","std","four","sedan","fwd","front","ohc","four","2bbl",98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,10245
"64",64,0,"mazda glc deluxe","diesel","std","four","sedan","fwd","front","ohc","four","idi",98.8,177.8,66.5,55.5,2443,122,3.39,3.39,22.7,64,4650,36,42,10795
"65",65,0,"mazda 626","gas","std","four","hatchback","fwd","front","ohc","four","2bbl",98.8,177.8,66.5,55.5,2425,122,3.39,3.39,8.6,84,4800,26,32,11245
"66",66,0,"mazda glc","gas","std","four","sedan","rwd","front","ohc","four","mpfi",104.9,175,66.1,54.4,2670,140,3.76,3.16,8,120,5000,19,27,18280
"67",67,0,"mazda rx-7 gs","diesel","std","four","sedan","rwd","front","ohc","four","idi",104.9,175,66.1,54.4,2700,134,3.43,3.64,22,72,4200,31,39,18344
"68",68,-1,"buick electra 225 custom","diesel","turbo","four","sedan","rwd","front","ohc","five","idi",110,190.9,70.3,56.5,3515,183,3.58,3.64,21.5,123,4350,22,25,25552
"69",69,-1,"buick century luxus (sw)","diesel","turbo","four","wagon","rwd","front","ohc","five","idi",110,190.9,70.3,58.7,3750,183,3.58,3.64,21.5,123,4350,22,25,28248
"70",70,0,"buick century","diesel","turbo","two","hardtop","rwd","front","ohc","five","idi",106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123,4350,22,25,28176
"71",71,-1,"buick skyhawk","diesel","turbo","four","sedan","rwd","front","ohc","five","idi",115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,4350,22,25,31600
"72",72,-1,"buick opel isuzu deluxe","gas","std","four","sedan","rwd","front","ohcv","eight","mpfi",115.6,202.6,71.7,56.5,3740,234,3.46,3.1,8.3,155,4750,16,18,34184
"73",73,3,"buick skylark","gas","std","two","convertible","rwd","front","ohcv","eight","mpfi",96.6,180.3,70.5,50.8,3685,234,3.46,3.1,8.3,155,4750,16,18,35056
"74",74,0,"buick century special","gas","std","four","sedan","rwd","front","ohcv","eight","mpfi",120.9,208.1,71.7,56.7,3900,308,3.8,3.35,8,184,4500,14,16,40960
"75",75,1,"buick regal sport coupe (turbo)","gas","std","two","hardtop","rwd","front","ohcv","eight","mpfi",112,199.2,72,55.4,3715,304,3.8,3.35,8,184,4500,14,16,45400
"76",76,1,"mercury cougar","gas","turbo","two","hatchback","rwd","front","ohc","four","mpfi",102.7,178.4,68,54.8,2910,140,3.78,3.12,8,175,5000,19,24,16503
"77",77,2,"mitsubishi mirage","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",93.7,157.3,64.4,50.8,1918,92,2.97,3.23,9.4,68,5500,37,41,5389
"78",78,2,"mitsubishi lancer","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",93.7,157.3,64.4,50.8,1944,92,2.97,3.23,9.4,68,5500,31,38,6189
"79",79,2,"mitsubishi outlander","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",93.7,157.3,64.4,50.8,2004,92,2.97,3.23,9.4,68,5500,31,38,6669
"80",80,1,"mitsubishi g4","gas","turbo","two","hatchback","fwd","front","ohc","four","spdi",93,157.3,63.8,50.8,2145,98,3.03,3.39,7.6,102,5500,24,30,7689
"81",81,3,"mitsubishi mirage g4","gas","turbo","two","hatchback","fwd","front","ohc","four","spdi",96.3,173,65.4,49.4,2370,110,3.17,3.46,7.5,116,5500,23,30,9959
"82",82,3,"mitsubishi g4","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",96.3,173,65.4,49.4,2328,122,3.35,3.46,8.5,88,5000,25,32,8499
"83",83,3,"mitsubishi outlander","gas","turbo","two","hatchback","fwd","front","ohc","four","spdi",95.9,173.2,66.3,50.2,2833,156,3.58,3.86,7,145,5000,19,24,12629
"84",84,3,"mitsubishi g4","gas","turbo","two","hatchback","fwd","front","ohc","four","spdi",95.9,173.2,66.3,50.2,2921,156,3.59,3.86,7,145,5000,19,24,14869
"85",85,3,"mitsubishi mirage g4","gas","turbo","two","hatchback","fwd","front","ohc","four","spdi",95.9,173.2,66.3,50.2,2926,156,3.59,3.86,7,145,5000,19,24,14489
"86",86,1,"mitsubishi montero","gas","std","four","sedan","fwd","front","ohc","four","2bbl",96.3,172.4,65.4,51.6,2365,122,3.35,3.46,8.5,88,5000,25,32,6989
"87",87,1,"mitsubishi pajero","gas","std","four","sedan","fwd","front","ohc","four","2bbl",96.3,172.4,65.4,51.6,2405,122,3.35,3.46,8.5,88,5000,25,32,8189
"88",88,1,"mitsubishi outlander","gas","turbo","four","sedan","fwd","front","ohc","four","spdi",96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,9279
"89",89,-1,"mitsubishi mirage g4","gas","std","four","sedan","fwd","front","ohc","four","spdi",96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,9279
"90",90,1,"Nissan versa","gas","std","two","sedan","fwd","front","ohc","four","2bbl",94.5,165.3,63.8,54.5,1889,97,3.15,3.29,9.4,69,5200,31,37,5499
"91",91,1,"nissan gt-r","diesel","std","two","sedan","fwd","front","ohc","four","idi",94.5,165.3,63.8,54.5,2017,103,2.99,3.47,21.9,55,4800,45,50,7099
"92",92,1,"nissan rogue","gas","std","two","sedan","fwd","front","ohc","four","2bbl",94.5,165.3,63.8,54.5,1918,97,3.15,3.29,9.4,69,5200,31,37,6649
"93",93,1,"nissan latio","gas","std","four","sedan","fwd","front","ohc","four","2bbl",94.5,165.3,63.8,54.5,1938,97,3.15,3.29,9.4,69,5200,31,37,6849
"94",94,1,"nissan titan","gas","std","four","wagon","fwd","front","ohc","four","2bbl",94.5,170.2,63.8,53.5,2024,97,3.15,3.29,9.4,69,5200,31,37,7349
"95",95,1,"nissan leaf","gas","std","two","sedan","fwd","front","ohc","four","2bbl",94.5,165.3,63.8,54.5,1951,97,3.15,3.29,9.4,69,5200,31,37,7299
"96",96,1,"nissan juke","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",94.5,165.6,63.8,53.3,2028,97,3.15,3.29,9.4,69,5200,31,37,7799
"97",97,1,"nissan latio","gas","std","four","sedan","fwd","front","ohc","four","2bbl",94.5,165.3,63.8,54.5,1971,97,3.15,3.29,9.4,69,5200,31,37,7499
"98",98,1,"nissan note","gas","std","four","wagon","fwd","front","ohc","four","2bbl",94.5,170.2,63.8,53.5,2037,97,3.15,3.29,9.4,69,5200,31,37,7999
"99",99,2,"nissan clipper","gas","std","two","hardtop","fwd","front","ohc","four","2bbl",95.1,162.4,63.8,53.3,2008,97,3.15,3.29,9.4,69,5200,31,37,8249
"100",100,0,"nissan rogue","gas","std","four","hatchback","fwd","front","ohc","four","2bbl",97.2,173.4,65.2,54.7,2324,120,3.33,3.47,8.5,97,5200,27,34,8949
"101",101,0,"nissan nv200","gas","std","four","sedan","fwd","front","ohc","four","2bbl",97.2,173.4,65.2,54.7,2302,120,3.33,3.47,8.5,97,5200,27,34,9549
"102",102,0,"nissan dayz","gas","std","four","sedan","fwd","front","ohcv","six","mpfi",100.4,181.7,66.5,55.1,3095,181,3.43,3.27,9,152,5200,17,22,13499
"103",103,0,"nissan fuga","gas","std","four","wagon","fwd","front","ohcv","six","mpfi",100.4,184.6,66.5,56.1,3296,181,3.43,3.27,9,152,5200,17,22,14399
"104",104,0,"nissan otti","gas","std","four","sedan","fwd","front","ohcv","six","mpfi",100.4,184.6,66.5,55.1,3060,181,3.43,3.27,9,152,5200,19,25,13499
"105",105,3,"nissan teana","gas","std","two","hatchback","rwd","front","ohcv","six","mpfi",91.3,170.7,67.9,49.7,3071,181,3.43,3.27,9,160,5200,19,25,17199
"106",106,3,"nissan kicks","gas","turbo","two","hatchback","rwd","front","ohcv","six","mpfi",91.3,170.7,67.9,49.7,3139,181,3.43,3.27,7.8,200,5200,17,23,19699
"107",107,1,"nissan clipper","gas","std","two","hatchback","rwd","front","ohcv","six","mpfi",99.2,178.5,67.9,49.7,3139,181,3.43,3.27,9,160,5200,19,25,18399
"108",108,0,"peugeot 504","gas","std","four","sedan","rwd","front","l","four","mpfi",107.9,186.7,68.4,56.7,3020,120,3.46,3.19,8.4,97,5000,19,24,11900
"109",109,0,"peugeot 304","diesel","turbo","four","sedan","rwd","front","l","four","idi",107.9,186.7,68.4,56.7,3197,152,3.7,3.52,21,95,4150,28,33,13200
"110",110,0,"peugeot 504 (sw)","gas","std","four","wagon","rwd","front","l","four","mpfi",114.2,198.9,68.4,58.7,3230,120,3.46,3.19,8.4,97,5000,19,24,12440
"111",111,0,"peugeot 504","diesel","turbo","four","wagon","rwd","front","l","four","idi",114.2,198.9,68.4,58.7,3430,152,3.7,3.52,21,95,4150,25,25,13860
"112",112,0,"peugeot 504","gas","std","four","sedan","rwd","front","l","four","mpfi",107.9,186.7,68.4,56.7,3075,120,3.46,2.19,8.4,95,5000,19,24,15580
"113",113,0,"peugeot 604sl","diesel","turbo","four","sedan","rwd","front","l","four","idi",107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21,95,4150,28,33,16900
"114",114,0,"peugeot 504","gas","std","four","wagon","rwd","front","l","four","mpfi",114.2,198.9,68.4,56.7,3285,120,3.46,2.19,8.4,95,5000,19,24,16695
"115",115,0,"peugeot 505s turbo diesel","diesel","turbo","four","wagon","rwd","front","l","four","idi",114.2,198.9,68.4,58.7,3485,152,3.7,3.52,21,95,4150,25,25,17075
"116",116,0,"peugeot 504","gas","std","four","sedan","rwd","front","l","four","mpfi",107.9,186.7,68.4,56.7,3075,120,3.46,3.19,8.4,97,5000,19,24,16630
"117",117,0,"peugeot 504","diesel","turbo","four","sedan","rwd","front","l","four","idi",107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21,95,4150,28,33,17950
"118",118,0,"peugeot 604sl","gas","turbo","four","sedan","rwd","front","l","four","mpfi",108,186.7,68.3,56,3130,134,3.61,3.21,7,142,5600,18,24,18150
"119",119,1,"plymouth fury iii","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",93.7,157.3,63.8,50.8,1918,90,2.97,3.23,9.4,68,5500,37,41,5572
"120",120,1,"plymouth cricket","gas","turbo","two","hatchback","fwd","front","ohc","four","spdi",93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,7957
"121",121,1,"plymouth fury iii","gas","std","four","hatchback","fwd","front","ohc","four","2bbl",93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,6229
"122",122,1,"plymouth satellite custom (sw)","gas","std","four","sedan","fwd","front","ohc","four","2bbl",93.7,167.3,63.8,50.8,1989,90,2.97,3.23,9.4,68,5500,31,38,6692
"123",123,1,"plymouth fury gran sedan","gas","std","four","sedan","fwd","front","ohc","four","2bbl",93.7,167.3,63.8,50.8,2191,98,2.97,3.23,9.4,68,5500,31,38,7609
"124",124,-1,"plymouth valiant","gas","std","four","wagon","fwd","front","ohc","four","2bbl",103.3,174.6,64.6,59.8,2535,122,3.35,3.46,8.5,88,5000,24,30,8921
"125",125,3,"plymouth duster","gas","turbo","two","hatchback","rwd","front","ohc","four","spdi",95.9,173.2,66.3,50.2,2818,156,3.59,3.86,7,145,5000,19,24,12764
"126",126,3,"porsche macan","gas","std","two","hatchback","rwd","front","ohc","four","mpfi",94.5,168.9,68.3,50.2,2778,151,3.94,3.11,9.5,143,5500,19,27,22018
"127",127,3,"porcshce panamera","gas","std","two","hardtop","rwd","rear","ohcf","six","mpfi",89.5,168.9,65,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,32528
"128",128,3,"porsche cayenne","gas","std","two","hardtop","rwd","rear","ohcf","six","mpfi",89.5,168.9,65,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,34028
"129",129,3,"porsche boxter","gas","std","two","convertible","rwd","rear","ohcf","six","mpfi",89.5,168.9,65,51.6,2800,194,3.74,2.9,9.5,207,5900,17,25,37028
"130",130,1,"porsche cayenne","gas","std","two","hatchback","rwd","front","dohcv","eight","mpfi",98.4,175.7,72.3,50.5,3366,203,3.94,3.11,10,288,5750,17,28,31400.5
"131",131,0,"renault 12tl","gas","std","four","wagon","fwd","front","ohc","four","mpfi",96.1,181.5,66.5,55.2,2579,132,3.46,3.9,8.7,90,5100,23,31,9295
"132",132,2,"renault 5 gtl","gas","std","two","hatchback","fwd","front","ohc","four","mpfi",96.1,176.8,66.6,50.5,2460,132,3.46,3.9,8.7,90,5100,23,31,9895
"133",133,3,"saab 99e","gas","std","two","hatchback","fwd","front","ohc","four","mpfi",99.1,186.6,66.5,56.1,2658,121,3.54,3.07,9.31,110,5250,21,28,11850
"134",134,2,"saab 99le","gas","std","four","sedan","fwd","front","ohc","four","mpfi",99.1,186.6,66.5,56.1,2695,121,3.54,3.07,9.3,110,5250,21,28,12170
"135",135,3,"saab 99le","gas","std","two","hatchback","fwd","front","ohc","four","mpfi",99.1,186.6,66.5,56.1,2707,121,2.54,2.07,9.3,110,5250,21,28,15040
"136",136,2,"saab 99gle","gas","std","four","sedan","fwd","front","ohc","four","mpfi",99.1,186.6,66.5,56.1,2758,121,3.54,3.07,9.3,110,5250,21,28,15510
"137",137,3,"saab 99gle","gas","turbo","two","hatchback","fwd","front","dohc","four","mpfi",99.1,186.6,66.5,56.1,2808,121,3.54,3.07,9,160,5500,19,26,18150
"138",138,2,"saab 99e","gas","turbo","four","sedan","fwd","front","dohc","four","mpfi",99.1,186.6,66.5,56.1,2847,121,3.54,3.07,9,160,5500,19,26,18620
"139",139,2,"subaru","gas","std","two","hatchback","fwd","front","ohcf","four","2bbl",93.7,156.9,63.4,53.7,2050,97,3.62,2.36,9,69,4900,31,36,5118
"140",140,2,"subaru dl","gas","std","two","hatchback","fwd","front","ohcf","four","2bbl",93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73,4400,26,31,7053
"141",141,2,"subaru dl","gas","std","two","hatchback","4wd","front","ohcf","four","2bbl",93.3,157.3,63.8,55.7,2240,108,3.62,2.64,8.7,73,4400,26,31,7603
"142",142,0,"subaru","gas","std","four","sedan","fwd","front","ohcf","four","2bbl",97.2,172,65.4,52.5,2145,108,3.62,2.64,9.5,82,4800,32,37,7126
"143",143,0,"subaru brz","gas","std","four","sedan","fwd","front","ohcf","four","2bbl",97.2,172,65.4,52.5,2190,108,3.62,2.64,9.5,82,4400,28,33,7775
"144",144,0,"subaru baja","gas","std","four","sedan","fwd","front","ohcf","four","mpfi",97.2,172,65.4,52.5,2340,108,3.62,2.64,9,94,5200,26,32,9960
"145",145,0,"subaru r1","gas","std","four","sedan","4wd","front","ohcf","four","2bbl",97,172,65.4,54.3,2385,108,3.62,2.64,9,82,4800,24,25,9233
"146",146,0,"subaru r2","gas","turbo","four","sedan","4wd","front","ohcf","four","mpfi",97,172,65.4,54.3,2510,108,3.62,2.64,7.7,111,4800,24,29,11259
"147",147,0,"subaru trezia","gas","std","four","wagon","fwd","front","ohcf","four","2bbl",97,173.5,65.4,53,2290,108,3.62,2.64,9,82,4800,28,32,7463
"148",148,0,"subaru tribeca","gas","std","four","wagon","fwd","front","ohcf","four","mpfi",97,173.5,65.4,53,2455,108,3.62,2.64,9,94,5200,25,31,10198
"149",149,0,"subaru dl","gas","std","four","wagon","4wd","front","ohcf","four","2bbl",96.9,173.6,65.4,54.9,2420,108,3.62,2.64,9,82,4800,23,29,8013
"150",150,0,"subaru dl","gas","turbo","four","wagon","4wd","front","ohcf","four","mpfi",96.9,173.6,65.4,54.9,2650,108,3.62,2.64,7.7,111,4800,23,23,11694
"151",151,1,"toyota corona mark ii","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",95.7,158.7,63.6,54.5,1985,92,3.05,3.03,9,62,4800,35,39,5348
"152",152,1,"toyota corona","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",95.7,158.7,63.6,54.5,2040,92,3.05,3.03,9,62,4800,31,38,6338
"153",153,1,"toyota corolla 1200","gas","std","four","hatchback","fwd","front","ohc","four","2bbl",95.7,158.7,63.6,54.5,2015,92,3.05,3.03,9,62,4800,31,38,6488
"154",154,0,"toyota corona hardtop","gas","std","four","wagon","fwd","front","ohc","four","2bbl",95.7,169.7,63.6,59.1,2280,92,3.05,3.03,9,62,4800,31,37,6918
"155",155,0,"toyota corolla 1600 (sw)","gas","std","four","wagon","4wd","front","ohc","four","2bbl",95.7,169.7,63.6,59.1,2290,92,3.05,3.03,9,62,4800,27,32,7898
